,responce,question
119655,"@149546 We do our best to always be on time and apologize for your delay, Kevin. What's your flight number?",Oh @AmericanAir nothing like your lack of reliability.  Have a plane parked all night and it's already 1 1/2 delay to leave.
119657,@149547 Please follow and DM your 6-letter record locator when you get a chance please.,"@AmericanAir AA722 SFO a FIL
AS740 FIL a MAD looks like you’ve got a sistem problem"
119659,"@149547 Please let us know what flight you're on, and we'll share your feedback with our IFE team.",Trying to watch a movie at @AmericanAir  flight and looks like they confuse Spanish with Catalan #sobad https://t.co/w6n4dGO6wh
119661,@149548 The struggle is real #wink. We hope your Thanksgiving was AAmazing!,Oh the pup-manity!!! Wishing a safe yet successful Black Friday to  all my coworkers @AmericanAir. #fAAmily https://t.co/xOICPflQLI
119663,@149549 We use a group boarding process that recognizes class of service and elite status first. We appreciate your feedback though WILLY.,@AmericanAir why doesn’t your group boarding process start with the back of the plane? Seems like that would make more sense.
121552,"@150106 Correct, if you have a business class reservation, or are an elite level AAdvantage member, the bag costs are generally waived.","She leaves. I go up to the @AmericanAir counter and all is going well. To humor myself I ask, “do I have to pay for my bag?” I expected a “yes” answer. 

Instead the man says, “probably”. So you’re saying there’s a chance? Then he told me if I had a priority designation"
121554,@150106 We offer different ways for our customers to check-in. Sometimes our agents may take longer and we don't want our customers to wait.,"So I finally get “free” seats and I show up to the airport. I’m first in line to be assisted and an @AmericanAir employee walks up to me and asks if I’d like to use the kiosk to get my boarding pass and bag tag. 

I said, “no, thank you. I’ll wait.” She says I can do that myself."
121556,"@150106 We only charge for Premium seats, Adam. You're more than welcome to wait until the day of travel and any remaining ones will be free.","@122986 let’s me know that this is how they get you. My research let me know I could most likely get seats for “free” if I select them closer to my flight date. That’s great news. But I have a bad memory. 

But this information was not easily accessible on the @AmericanAir site"
121558,@150107 Very nice! We're glad that they were able to do that and we hope that you guys had a wonderful Thanksgiving.,Much love to the @AmericanAir gate agents at Logan A32 for getting our family seated together on a full holiday flight!
122648,@150411 We're playing these beats just for you! Thanks for flying with us today.,"YES, @AmericanAir, PLAY THAT @150412 PRE-FLIGHT. #Boppin"
122650,@150413 We'll get you and your bag transferred over as quickly as possible. We appreciate you flying with us.,".@AmericanAir app is telling me my ""bag is on the way"" to my connecting flight, when I'M not even on the way to my connecting flight because this plane is still taxiing. 🙄"
122652,@150413 You can track your bag now online via this link: https://t.co/vpkBeWiqTq,"@AmericanAir Well, I made it... Hope my bag does too! 🍀"
122656,"@142988 We appreciate you saying that, but more importantly we appreciate you flying with us. Have a fantastic day and weekend!",@AmericanAir another great travel day.  You guys don’t get the credit you deserve!
122658,@150415 We're so happy that you're enjoying our beautifully renovated lounge! Your impression of us is truly important.,Stunning new Flagship Lounge in Miami. Congratulations @AmericanAir @150414 #admiralsclub #flagship #first https://t.co/cMt96tLiAe
122660,"@150416 We'd be happy to take a peek at your reservation, Scott. Please move into DMs with your record locator.","@AmericanAir hello. I’m unable to check in using the app or online. I’ve tried four times. The message says buy/pay for upgrade or won’t permit advance check in. 
Why is this so?"
122664,@150417 We have your DM and will be with you there shortly.,"@AmericanAir Hi, i have just booked a flight and you have taken the money from my account twice - please help"
122666,"@150106 The type of ticket, route, elite status, etc. determine what's included in your reservation and seats become available at the airport.","Wouldn’t that be information I would know, sir? So there wasn’t a chance. There was literally a 100% chance I would pay for my bag. 

All in all, i paid a couple hundred with @AmericanAir and learned not only did it not include my bad, but almost didn’t include a seat."
124082,"@150827 We'd rather keep you flying with us, Danny. How can we help turn things around for you today?",This is the last time I fly @AmericanAir  #garbage
124084,"@150828 We're sure he just likes keeping you in the loop, Tara. Sit back, relax and enjoy the ride!","Pilot is giving us a turn by turn plan for the flight—what, like in case we have to take over midway through? #americanairlines #slctoclt"
124086,@150828 We love it and we're so happy you included us in your travel plans. Come back and see us again soon!,@AmericanAir It was the start of an enthusiastically informative and entertaining narration from him — and a great flight! Thanks AA!
124088,@150829 We're sorry to hear this and thanks for reaching out to us. Please DM your record locator for a closer look.,"Hey @AmericanAir, my fiancee and I (both platinum pro) have spent about 90 minutes on the phone with you on the last day of our vacation, trying to get someone to fix the ticket you messed up. No luck so far. Any suggestions?"
124090,@150829 We sincerely value your loyalty and feedback is how we continue to improve. We'll be sure to turn things around during your next trip.,"@AmericanAir FYI this is the second time in the last three months an AA mistake has completely upended our travel plans, so don’t be surprised if we take our status and our business elsewhere."
124092,@150829 We see the tickets are all set now and we assure you that our #AATeam and oneworld partners will take excellent care of you!,"@AmericanAir I wouldn’t hold out hope that our next trip will be with you, in all honesty. Delta has a pretty good status match program. Anyway, first you’ll have to actually deliver on our current trip."
124094,"@150829 When you go to our website to check-in, you'll be redirected to the Iberia website and you'll use their confirmation code.",@AmericanAir Then why am I still unable to check in? Your AA team and oneworld partners are the reason we’re in this mess in the first place. Iberia canceled a segment and no one thought to tell us. You just decided we’d teleport to Madrid.
124098,@150829 Please check-in for the flights you can and then the agents at the airport will print out the remaining boarding passes for the others.,@AmericanAir Am I mistaken that the booking agent here is American?
124100,@150829 The tickets have been issued. We'll share your ticket numbers for all 6 segments in DMs.,"@AmericanAir The last time we were told to do that, AA hadn’t actually processed the reservation and we missed our flight while we waited over an hour for the gate agent to fix it. So forgive my skepticism."
124103,@150829 We're sorry for the extra travel time and know it's an inconvenience. We'd like to keep you flying with us and hope you'll reconsider.,"@AmericanAir Hey @Delta do you have any interest in my fiancee and I? She's exec platinum, I'm platinum pro, and we both travel a ton for work (around $40k spend this year)."
124107,@150829 We strive to keep your info safe. We're sorry that piece of paper wasn't properly disposed of.,"@AmericanAir Btw, someone on your staff dropped a manifest of AA's highest value customers who flew through Miami today (including Kylie Jenner). Maybe keep your customers' personal info under better guard?"
125643,"@151266 Thanks for the shout-out, Stacey. We're glad our team helped save the day. Have an AAwesome flight!",Shout out to @AmericanAir Thank you to the PHX ticket agent who brought my phone to the gate! Flight 3022 to Grand Junction.  You’re the best! #CustomerService
125645,"@151267 Yes, travel agents are aware of the fare rules. You can check with them about about a buyout option to the regular fare.",@AmericanAir Is this communicated to travel agents? Ours had no idea / didn't mention a thing.
125648,@151267 Basic Economy is only one of the many different types of fares we sale. You're not required to purchase it.,@AmericanAir nickel and diming again not allowing people to use overhead bins in economy 😴
125650,"@151268 We never want to disappoint you, Alex. How can we help you?",Super disappointed with @AmericanAir 😔 more concerned with getting through a line fast than their customer service this holiday season 👎🏽
125652,@151268 Seat changes may occur occasionally and it sounds like he may have a Basic Economy ticket. Please DM the record locator and we'll check.,"@AmericanAir After check in moved my husband’s and I️ seats were moved apart, and than made him pay at the gate for a personal item. The desk attendants did nothing to help and were more concerned about getting their line down than helping us."
125654,"@151269 If the First Class fare is refundable, we can provide the difference, but if it's nonrefundable, we're unable to provide any credits.",@AmericanAir if my first class fare has gone down am I eligible for a refund of the difference?
125657,"@151270 That's a reason to put the petal to the metal and you're right, what a beautiful day to fly. It's our pleasure to have you on board!","A beautiful morning to fly! Excited to have @AmericanAir take me home. Mom confirmed there's leftover pie, but let's hurry before someone else eats it! 
@151271 &gt; @151272 https://t.co/9oyaAu8eYd"
126992,"@151669 We should have you parked any time now, Rose. Have a great Friday!",@AmericanAir And how much longer will that be? We are now at our original arrival time? Seriously this is not acceptable.
126994,"@151669 We know you're ready to be off the plane, which we can do as soon as the path to the gate is clear.",@AmericanAir When we landed the pilot said it was due to outgoing traffic not gate availability? He just stated the gate is open but we are not moving.
126996,@151669 Our crew will have you deplaned as soon as they receive gate clearance!,"Hey @AmericanAir another flight that I am stuck on sitting in the runway, no announcement in PHX. 3rd time this year."
126998,@151670 We'll send a DM your way with the record locator code you're looking for.,Hi @AmericanAir - I've got an AA ticket with BA flights. How do I get a BA conf number so I can pick seats?
127000,@151670 You're welcome!,@AmericanAir Great. Thank you!
127002,"@151671 You can request an airport supervisor when you reach your destination, Tim.",@AmericanAir Who should I ask for? This has gotten progressively worse since the merger and is now just flat annoying. I tell people not even to bother to drive out to Sky Harbor until I actually hit the gate.
127004,"@151671 We don't have that information on our end but if you speak with an agent, they'll request a supervisor for you.",@AmericanAir What would be helpful is if you could please provide me a name. Thanks
127006,"@151671 Our team always fills out a detailed report upon arrival, but you can always request to speak with an airport supervisor as well.",@AmericanAir Fix your ground ops problem guys...the crew is just as trapped as we are. Give me the contact info for the station mgr and I will be happy to explain it to them if you do not want to.
127008,"@151671 We don't ever want to keep you waiting, Tim. Please check with our crew and they'll provide any available updates.",@AmericanAir You all need to seriously do something about ground ops here...has happened on 8 times out of the last 10 flights. You try sitting in a tube and not be allowed to go to bathroom.
127010,@151671 We're sorry for the delay but appreciate you hanging in there with us. We'll have you in as soon as we have clearance.,@AmericanAir - again with ground delays in PHX. 531 on the ground 20+ minutes with no announcement. The flight isn't early if we have to sit here like this and not reach a gate.
127012,"@151672 Please let our flight crew know then, Hazel.",@AmericanAir Thank God but at this point not sure i can hold it long enough to get off this can.
127014,"@151672 The good news is, you're arriving and departing gates are right next to on another, so you should have plenty of time to use the restroom!",@AmericanAir Will it be in tome to make connection to Vancouver? And stop to pee?
127016,@151672 Our crew's going to have you pulled into the gate as soon as possible. We're waiting for the thumbs up and we appreciate your patience.,@AmericanAir No we need to park at gate we are here and i have to per and run for connection at this at this point
127018,"@151672 We're sorry for the wait, Hazel. We'll have you wheel's up and on your way as soon as we get clearance.",@americanair can you send traffic director to get us to gate?  #fail
127020,"@151673 We're sorry for your delay, Brenda. Please follow and meet us in DMs with your record locator and we'll look at available options.",@AmericanAir you reset flight w 5+ hour delay and won’t answer phone- need united flights to get home tonight! Contact me please!
127022,@151674 Sometimes stowage space may have filled but our team will definitely have your luggage returned upon arrival.,Hey @AmericanAir - I measured my bag at home and it measures 18×14x8. I get to the airport and your rep tells me my bag is too big. Your measurements are WAY off...in your favor. What is the deal here? https://t.co/yReLQhqYmO
127027,"@151675 We know you're ready to be off the gate, and truly appreciate your patience today.",@AmericanAir @AmericanAir customer service is sadly lacking
127029,@151675 We're glad to hear you've been reunited with your bags. Our apologies again it took longer than usual. Have a great Friday!,@AmericanAir We were long “off the gate” and sitting at the bag claim area watching all the other carriers delivering bags to their passengers.
127033,@151675 Please continue working with our airport agents for updates. The baggage agents will have the luggage offloaded shortly.,@AmericanAir @AmericanAir now gat agent announces may be another carousel.  No apology for delay. Now FIFTY MINUTES DELAY. NO BAGS YET.
127041,"@151677 Our agents will request to gate check your bag to avoid delays in boarding. We're sorry for the inconvenience, Aaron.",@151271 @151678 Tell @AmericanAir they're terrible. I'm in a hurry when I arrive to Austin but they made me check in my bag for no room. There was plenty.
127045,@130557 Good things come in small packages. We're always looking to improve. Thanks for your feedback.,@AmericanAir - the LAX T4 AC is WAY too small and crowded. What were you thinking?
127048,"@151675 Our apologies for the wait, our team will have them to you as soon as possible, We appreciate your patience.",@AmericanAir Meanwhile @SouthwestAir is expeditiously delivering several flights while your passengers sit here waiting.
128543,"@152098 It is a busy holiday season, and lines can be pretty long. We know it's disappointing to miss out on family time.",@AmericanAir You can make it up to me by doubling my miles earned on my first flight :)
128545,"@152098 To ensure your bags make all your flights, we do ask that you check them back in if you're booked in separate reservations.",@AmericanAir No they're not but that hasn't stopped other airlines from being able to do it
128547,"@152098 Are your flights all in the same reservation? We can double check for you, if you meet us in DM with your record locator.",Glad I have a long layover because @AmericanAir is incapable of checking my bag all the way through so I get to go through security again YAY
128549,@152099 We'd be happy to take a closer look into this for you. Please follow and DM your ticket number along with any additional details.,@AmericanAir -I’m curious how you guys can suddenly be so confused about getting me a refund. I have been waiting on it since SEPTEMBER. POOR customer service to say the least.
128552,"@149548 Yep! It's a fallstreak hole which is a large gap, usually circular or elliptical, that can appear in cirrocumulus or altocumulus clouds.","Hey @AmericanAir , did you ever figure out what that hole was? I'm really curious. https://t.co/xB7gXyzMnq"
128557,@152101 This concerns us deeply. Did he speak with a baggage agent at the airport to open a claim?,@AmericanAir seriously upset that you took an elderly man's luggage off flight AA3183 NOVEMBER 21st ORD&gt;GRB and left it overnight. Someone cut open the luggage and stole his dead wife's wedding band.  Disgusting treatment and such disrespect.
128559,@152101 Please have your friend reach out to our Baggage Services. He can contact them at 800-535-5225.,"@AmericanAir He arrived international and brought his own bag through customs in Chicago. Bag had not been tampered with. Then he hands it over to @AmericanAir and you guys pulled it off the plane to load military bags, left his overnight in Chicago, and somebody opened the bag. Disgraceful."
128562,"@152102 Also known as a skypunch! Super cool and even cooler to be viewed from 35,000 ft. up.",@AmericanAir Don’t understand the answer....
128565,"@152104 Thanks, Leandro! You have a great weekend, too.",@AmericanAir have gorgeous weekend #NumberOne 😀!!!
128567,"@152105 We're sorry to hear you missed your connection, Ian. If you'd like for us to help with rebooking options, please DM your record locator.",Flight already delayed and then the ground crew gate driver to deplane doesn’t show up for another 20 mins? @AmericanAir’s communication is great today. Thanks for the missed connection!
128572,"@152107 We're sorry for the extra tarmac time, Brent. We'll have you on your way just as quickly as we can!",Everyone loves the feeling when their flight arrives early. Especially when you get to spend the extra time waiting to leave. At least I got that sitting in traffic feeling! Thanks @AmericanAir!
130177,"@152569 We know having a spot for your bag near you is important, however the overhead bin space is available for everyone to use.",@AmericanAir #why can’t u get service right? Flt PLS-MIA  (now) sitting alone in a C class row. Overhead full from bags from Y class. Stewardess just shrugs &amp; walks away.  Why can’t you get it right?
130179,"@152570 We're working hard to include power on most our planes and either inflight entertainment, or streaming capability, David.","@AmericanAir would be nice if your 6+ hrs flight to hawaii had power, or inseat entrainment. Expected more on flight#663 https://t.co/Ut14jGMRq5"
130182,@151672 You had us worried there but we're happy to hear everything worked out!,@AmericanAir No wet pants and boarding was delayed yay me! There Was mad people on that plane! All’s well!!
130184,"@152571 We're so glad to have you aboard with us, and look forward to many more flights together. #TravelPals",My review of @americanair MD-80 between Dallas and Memphis. https://t.co/ItV10vht5t https://t.co/W26DrDfl50
130186,"@152572 You may have found your lucky numbers, Ashvin. It's time to play the lotto!","@americanair flight time is 3:33 from PHX to ORD.  &lt;3x3x3 = 27&gt;

Gate is 27. Sitting in Row 27."
130188,"@152573 They're different department, Kathy. They work with account questions or discrepancies that you may have noticed.",@AmericanAir Is this the same as my exec platinum desk? Or different
130190,"@152573 If you give our AAdvantage Customer Service team a call, they'll look into this with you to clear things up: https://t.co/l7FeGMUy12","@AmericanAir can someone help me with my EQMs? Just before last trip I had 84189, flew to SAN. says earned 3409 miles but it only credited me with 2946. Please help"
130192,@152574 It's a great day to go flying!,@AmericanAir back on the saddle  ...
130196,"@152576 It is a very busy holiday season, everyone has somewhere they'd like to be!",I'm certain @AmericanAir could fit one more human on this flight but we are already all sexually harassing each other by default. I'll drive next time. Your execs are sorry humans.
130198,@152577 We see your DM and will respond to you there.,@AmericanAir Complete. I pray you can help
130200,@152577 We wanted more clarification and keep your information private. We're sorry for your disappointment.,@AmericanAir Why go to my DM and say the same thing that you tweeted... you won’t change it and i just gave money to you for nothing. But you will profit because a seat will be free for a standby passenger .... wow way to treat customers! Thanks!
130202,@152577 Please follow and meet us in DMs with your record locator and we'll be happy to take a peek.,@AmericanAir Understood but the policy should reflect the people not the company! Yes the whole name is misspelled.. can you can it?
130204,"@152577 You're very important to us but we have to stay consistent with our policy. If the name is misspelled, we can help with that.","@AmericanAir is disappointing! This is why i rather fly @Delta i simply want to change the name of the passenger, not change my flight. They rather i lose my money &amp; have an open set than be helpful &amp;change the person name. That’s bad business! Thought the customer was important!"
130206,@152578 We like to #throwback every once in a while. Thanks for sharing the pic!,@AmericanAir #Piedmont #heritage https://t.co/bhIkHdFbn6
130208,@152579 Our planes are regularly washed and we always want you to have a good #AAView from your window seat. We're sorry if they're dirty today.,I wish @AmericanAir would clean their windows on their planes 😪
130210,@152580 Some destinations have a box embargo but take a look here for more information: https://t.co/XvGHnVVEv9,@AmericanAir Can I check a box of clothes instead of a suitcase? What if it's all taped up?
131747,"@153026 We'd be happy to look into this. Did you receive an email from our Customer Relations team? If so, DM the reference number.",@AmericanAir - Was told I'd receive an eVoucher at the beginning of Oct.  It's now the end of Nov. :-/
131749,@153027 We're glad our #AATeam helped track it down for you. Have a great weekend!,Shoutout to @AmericanAir for retrieving a laptop that I lost 🙌🏿 much appreciated.
131751,@153028 We count on all our team to be courteous and kind and apologize for any rudeness you received.,@AmericanAir is it policy for your fight attendants to always be rude? I’ve flown all over the country and I’m part of your frequent flyer program. Take a lesson from @VirginAmerica bc they are nice AFFFF
131753,@153029 We love our traveling families and we're so happy they enjoyed the flight. We can't wait to see you guys on board again soon!,"Thank you @AmericanAir for putting screens on the backs of the seats! Just got off an Orlando-LAX flight! I asked the gate agent if we had screens, he said no! Kids melted down, only to get on the plane to the  sweet sight of screens! Thanks for making the 5+ hour flight fab!"
131755,@153030 We see our airport team has you rebooked with confirmed upgrades on later flights. Our apologies for any inconvenience caused.,@AmericanAir I love when your maintenance issues on flight 1186 keep me from my family. Why do I keep giving you another chance? #insanity
131757,@153030 Safety for our customers is of the utmost importance. We appreciate your understanding with the need for extra travel time today.,@AmericanAir Very kind of you. Would you like my wife’s number to explain why I won’t be home for dinner?
131759,"@153030 Once the travel is complete, you're welcome to make a refund request here: https://t.co/xM8Vkc7BvM",@AmericanAir My wife is waiting for your call. How about you refund me the fare difference in the ticket I booked and the ticket your making me take
131761,@153030 We see the airport team has offered vouchers to help defray your dinner cost.,@AmericanAir Spot me the $160 in the meantime? Those refunds take time you say
131766,"@153030 We're sorry for the long wait, Brady. We're working to get you to your destination, as soon as possible.",@AmericanAir So I’m on my 4th set of boarding passes. https://t.co/Rte4iE9Gq3
131768,@153030 You'd have to speak to an airport agent to see if there's any availability on another airline. They'll do their best to accommodate you.,@AmericanAir For some reason I don’t think you are. Can I rebook on another airline? Come January 1 I will never fly you again. #FormerExecPlatinum
131776,@153032 This is music to our ears but we're sorry for the inconvenience. We can't wait to have you back on board soon.,@AmericanAir Lost bag at gate check human error. Customer service each time I talked to a real person was exceptional. Makes a difference.
131778,@153033 We offer a Same Day Confirmed option for $75. That's the best way to get on a different flight than scheduled.,@AmericanAir's is the absolute worst. They refused to bump me to an earlier flight that had SEATS AVAILABLE!
131780,"@153033 That's odd, it's possible your reservation doesn't allow for changes. We can take a closer look if you DM your record locator.","@AmericanAir I walked up to the gate and the agent indicated she would put me on standby. After all loading groups had boarded the gate agent indicated seats still available but refused to allow me to board due to ""the computer not allowing it."" Other airlines allow this..."
131783,@153034 That sounds like the perfect treat when you're on the go. Sara. Thanks for your AAwesome praises on the new club!,Fantastic experience in the new @AmericanAir #FlagshipLounge in @150414. Even complete with #MiniMarshmallows for my hot chocolate to go! #Miami #InTransit https://t.co/VuScEpeM6r
131785,"@153035 We appreciate the shout out, John. We're glad to be able to help her out. #TweetUsIfYouNeedUs.",Shout out to @AmericanAir for assisting my daughter via @123765 Rockstars of the airways.
131792,@153038 Every person earns their own status. Even the kids #wink.,C’mon @AmericanAir and #executiveplatinum status! 🙌🏻#upgrade #kidsintheback until they earn their own status. https://t.co/5JVwkZmEfA
133349,@153486 We've put a waiver in the reservation to allow you to fly standby for free. Please let the gate agent know.,@AmericanAir Then why’d she say she was? (It was card by the way) AA1457
133351,"@153486 Great news, we're so glad to hear that. Have a wonderful rest of the weekend.",@AmericanAir Made it! Thanks so much!
133353,"@153486 If for some reason they don't, please file a claim with our Baggage team and they'll deliver them to you.",@AmericanAir Just please make sure the bags make it!
133355,"@153486 Our gate agents aren't equipped to take money, Jeremy. Which flight are you confirmed for?",@AmericanAir Money out ready to pay a change fee and I get a “sorry computer won’t let me.” This makes no sense @AmericanAir. The gate agent even told me they have spare seats.
133358,@153487 We're here to help in any way we can. Please DM your record locator and let us know what you're needing.,"@americanair After 3 hours total, 45 minutes on hold with customer service, and two cancelled trips later, I still don't have a flight home for the holidays. Get it together guys 😣"
133360,@153488 Schedules changes can happen as a regular part of all air travel. Our apology for any inconvenience caused.,"Thanks, @AmericanAir for moving my flight up 6 hours and forcing my fiance and me to rebook on a flight the next day, changing the seats I picked with the rebooking agent and automatically checking me in so I can't change seats on a sold out flight. Impressive!"
133362,"@153488 If we can be of any assistance, please DM your record locator.",@AmericanAir Totally understand that aspect... It's the automatically checking me in and changing my seats I'm confused about. Thanks for the reply!
133364,"@153489 On time flights are the plan, and reserve crew members are used whenever available.","@AmericanAir So - not likely that AA would book a pax with that tight a connection, but the replacement F/A is ok?"
133368,@153489 The remaining crew is coming in from a delayed flight. We're sorry for the extra wait time.,@AmericanAir - Flt 1468 PHX - 45 min delay waiting for a crewmber ? REALLY AA??
133370,@153490 All found items head to one central location. Please follow this link to provide a description of the jacket. https://t.co/JsEGHYNki5,Help @AmericanAir  - son just left jacket on #1076 from DCA to ORD. Seat 27F.
133372,"@153491 If you need some help with your travels, we're here to help.",fuck @AmericanAir terrible company terrible staff go die
133374,"@153491 We'd be happy to see if we can help here, or at least provide more info. Please DM your record locator and details.",@AmericanAir no you're not i've called and went to the airport for help and your customer service didnt help for shit now im missing a family holiday lol
133376,@153489 They're on their way and will be there as quickly as possible. Thanks a lot for your patience.,"@AmericanAir FLT 1468 - now 55 min late ?  AA, wtf is going on??"
133382,"@153494 We're glad Tess was able to get you closer to your baby. From all of us, a big #GetWellSoon to your son.",@AmericanAir thank you so much Tess  I believe that's her name.  She helped me fine a seat closer to my son whom isn't feeling well.  It was my fault I didn't pay attention to our seats earlier.  Have a blessed day.
133384,@153495 The Flagship lounge is open to First and Business for the long haul overseas flights. Cancun travel won't qualify for access.,"@AmericanAir hi! Time-sensitive question: If I'm flying Business to Cancun from Miami, and I'm platinum, can I access Flagship lounge? Thanks! Here right now :)"
133386,"@153496 We're sorry for your loss, but happy to hear our #AATeam helped make the change seamless.",HUGE thank you to @AmericanAir for being extremely accommodating with my crazy flight changes for this holiday weekend in wake of my grandfather’s funeral.
134787,@153919 We're sorry for the wait. Please DM your record locator and we'll take a look at that upgrade for you.,Omg! @AmericanAir on hold for 44 minutes and you hung up on me?!! I was merely holding to pay for an upgrade - dude transfers me and hangs up! #travel https://t.co/38vmTlENjK
134789,"@153919 That's great news, Tina! We always want to have you up front with us.",@AmericanAir Thanks. Took me an hour but I just kept my ear buds in and lived life - 2 transfers &amp; a lost call later a delightful woman cancelled my reservation &amp; I was able to rebook w/the upgrade!
134793,@153920 We've got a warm spot in our hearts for #PrettyBirds of all kinds.,@AmericanAir That’s why I love you! Always there to help! (even when some folks are 🦃🦃🦃)
134797,"@153922 Irish passport, Mexican beer and American Airlines. We love the combination Have a great flight and weekend, Andrew!",Homeward bound after another great week in NYC 😪 At least the great new @AmericanAir lounge in JFK eases the pain https://t.co/4O5B7OqV2z
134799,@153923 You can request a refund via this link: https://t.co/xM8Vkc7BvM under bereavement.,@AmericanAir   Customer service is awful.  Can’t issue a refund due to a death in the family.  WTH.  Very upsetting.
134801,@153924 We allow for unlimited changes to the dates and times if you'd like to rebook for new dates. Thanks for your feedback.,@AmericanAir Fee to restate miles has nothing to do with giving options - come up with better answer - ill switch to using southwest!
134804,"@153924 We always want you to have options so if you find a ticket that's equal mileage, our agents could always look into reissuing your ticket.",@AmericanAir ridiculous policy of charging $150 to restate miles when you book using miles - #stopflyingamerican and use @SouthwestAir instead!!
134806,@153925 We appreciate your feedback on the fares and service that we offer.,"@AmericanAir Also, it’s a little suspicious when you stop flying the 777’s to Miami from Los Angeles during the holidays but for some miraculous reason they fly during all other times. It’s all about the money."
134811,"@153925 Fares go up and down, based on real time availability. The MIA-LAX route is quite popular this time of year.",@AmericanAir I tried buying tickets three months ago.
136104,@154301 We're not currently providing capped fares. We're sorry for any disappointment this causes you.,@AmericanAir after an hour and several reps I was told the humanitarian fare ended late Sept. Ridiculous as the need for volunteers is desperate. Current fares inhibit relief workers. Please consider returning to altruism..provide discount to volunteers
136107,"@154302 We're working on modernizing our entire fleet, Samantha. Thanks for hanging in there.",I cant believe that there are still airlines that make you pay for wifi... have no tvs... and have 6 inches of leg room. you win worst of the worst @americanair
136109,@154303 Thanks for joining us today!,Nice day to go flying! @AmericanAir #DFW to #CLT to #YUL! https://t.co/sMsqDKT4Vs
136111,@154304 Happy Thanksgiving! We hope you and your family had a wonderful time together.,@AmericanAir Hey I guess being denied the first time helped me avoid paying your insane $200 flight change fee so all the more reason to be grateful! Thanks again and Happy Thanksgiving!
136113,"@154304 Wow, what a great story, Caitlin. It makes you realize there's still good in this world. #HappyThanksgiving","Holy moly, got initially denied a flight switch on @AmericanAir and then a thxgiving miracle occurred: got in the same flight as my mom, they checked my bags, AND a young woman my age was willing to switch seats so I could sit next to Mom. Things can go right! Wow."
136115,"@154305 We agree communication is key, and appreciate the feedback you provide.","@AmericanAir If boarding begins early, isn’t it probably best to customers to send an update?"
136118,@154306 We're so glad you're being reunited! Thanks for joining us on board.,@AmericanAir found my lost iPad and contacted me before I was even 100% sure it was lost. Soooo appreciated!
136120,"@154305 We encourage customers to arrive to the airport early, saving time to clear the security checkpoint.",@AmericanAir do you expect us to get through TSA in one line and board flight 3545 10min early?
136122,"@154307 We started to board at 1:24p to ensure an on time departure. Have a great flight, Dr. Lewis!",@AmericanAir TSA didn’t open until 1!
136125,@154307 Our gate team was informed about what was happening at TSA and held the flight. We're happy you made it!,@AmericanAir flight 3545 scheduled to BEGIN boarding at 1:35 NOT 1:10 while everyone is waiting for TSA to move 20 people through ONE line #LCH #AmericanAirlines #WTF
136128,@154308 We don't ever want any surprises and it sounds like you had a Basic Economy ticket. Take a look here for more info: https://t.co/MKvFFVWJdz,@AmericanAir YALL LAME ASF for making me pay $50 for 1 bag that was an 1 inch over the standard! LAME ASFFFF I SWEAR.
136133,@154309 Please DM your record locator and we'll take a look.,@AmericanAir The third party was another person not an agency.
136135,"@154310 FOod and beverage does help pass the time. We see your DM , and will reply back to you soon.",@AmericanAir Great way to start the flight AA. VERY limited food &amp; beverage services for entire flight cross country. MAYBE you should have told us passenger PRIOR to boarding!  This sucks especially for those of us traveling with young kids
137670,"@154762 We do our best to always be ready to go for you, but safety is our top priority. We're estimated to leave now at 6:20p.",@AmericanAir AA 4358 but does the flight number matter I can’t fly with y’all with out a delay it’s almost like a running joke on me.
137673,"@154762 We know you're ready to be on your way, Antoinette. What's your flight number, we'll check on an update?",Breaking my twitter hiatus because WHY CANT I FLY @AmericanAir WITH OUT A DELAY!?!?! 3 HOURS American! 3 hours!  #runmemycoinback
137675,@154763 We'll take great care of you on board. Thanks for joining us.,@AmericanAir well now I️m waiting until another flight at 5:20 when I had a flight for 2:56
137677,@154763 Our team is expected to be courteous and respectful at all times. We're sorry if this wasn't the case.,Remind me to never fly @AmericanAir ever again slow and rude asf 🙄
137679,"@154764 Our goal is for every flight to be a success, Isabel. What's going on? How can we help you?",Oh sweet Jesus.... this is gonna be a flight full of problems huh @AmericanAir 😒🤔
137681,@154764 We love flying with you too and our attendants will address anything you need. Glad to have you on board with us!,"@AmericanAir Nah you guys are great. Love flying with you, your other passengers are on another level though. 🤷🏻‍♀️🤦🏻‍♀️"
137683,"@154765 You mentioned you weren't on that flight and the name doesn't match, but we'll forward these comments. Our apologies again.",@AmericanAir I am the customer
137686,"@154765 Thanks for clarifying, we have your reservation here and have shared your comments with our leaders in Flight Service.",@AmericanAir Correction i am in seat 3A
137688,"@154765 We're going to take a closer look at this and then once we're done, we'll share more info with you in DMs.",@AmericanAir I returned my meal.  Lost my appetite and saddened i wasted an upgrade certificate on this.
137690,"@154765 You're welcome, we appreciate your loyalty and will respond back just as quickly as we can!",@AmericanAir I appreciate that. As a loyal AA flyer for over 20 years. It’s encouraging.
137692,@154765 We always want to remain transparent and we also want to keep out customers info private. Please have our customer contact us directly.,@AmericanAir Menu stated an appetizer. When i didn’t get my try he berated me in front of my seat mate as if i knew it was a different tray service. Why give out menus if you don’t offer appetizers to all pax?
